Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
825,400 Block MAIN ST,11JC0562,MONA,,null,07/13/2011 08:04:24 AM,Wednesday,9,07/06/2011 09:07:16 AM,Description: Citizen Assist,73073131,CITIZEN ASSIST,40.1392407484,"{'type': 'Point', 'coordinates': [-111.559039, 40.139241]}",-111.5590387,Community Policing,UT,07/18/2011 08:03:51 AM,null
826,TROUT CREEK,15JC1318,JUAB CO WES GR,,,09/28/2015 08:04:21 AM,Tuesday,9,09/15/2015 09:09:15 AM,Description: Citizen Assist,732018914,CITIZEN ASSIST,39.6867,"{'type': 'Point', 'coordinates': [-113.838, 39.6867]}",-113.838,Community Policing,UT,09/28/2015 08:00:45 AM,
827,1100 Block S 400 EAST ST,15JC1362,NEPHI,,,09/28/2015 08:04:21 AM,Friday,10,09/25/2015 10:09:21 AM,Description: Citizen Assist,732018913,CITIZEN ASSIST,39.6927,"{'type': 'Point', 'coordinates': [-111.83, 39.6927]}",-111.83,Community Policing,UT,10/08/2015 08:00:57 AM,
828,100 Block W 100 NORTH ST,15JC1364,MONA,,,09/29/2015 08:04:19 AM,Saturday,6,09/26/2015 06:09:51 AM,Description: Traffic Offense,732092624,TRAFFIC OFFENSE,39.8176,"{'type': 'Point', 'coordinates': [-111.857, 39.8176]}",-111.857,Traffic,UT,10/09/2015 08:00:57 AM,
829,100 Block CLARK DR,15JC1366,EUREKA,,,09/29/2015 08:04:19 AM,Saturday,13,09/26/2015 01:09:29 PM,Description: Traffic Accident-Non Reportabl,732092625,TRAFFIC ACCIDENT-NON REPORTABL,39.9581,"{'type': 'Point', 'coordinates': [-112.114, 39.9581]}",-112.114,Traffic,UT,10/09/2015 08:00:57 AM,
830,SAND MOUNTAIN CENTER LOOP,15JC1367,LITTLE SAHARA,,,09/29/2015 08:04:19 AM,Saturday,16,09/26/2015 04:09:22 PM,Description: Citizen Assist,732092627,CITIZEN ASSIST,39.6395,"{'type': 'Point', 'coordinates': [-112.388, 39.6395]}",-112.388,Community Policing,UT,10/09/2015 08:00:57 AM,
831,100 Block W 100 SOUTH ST,15JC1387,MONA,,,10/04/2015 08:04:15 AM,Tuesday,16,09/29/2015 04:09:09 PM,Description: Citizen Assist,732801630,CITIZEN ASSIST,39.8147,"{'type': 'Point', 'coordinates': [-111.859, 39.8147]}",-111.859,Community Policing,UT,10/10/2015 08:00:45 AM,
832,233000 Block I15 SB,15JC1392,JUAB CO MON GR,,,10/04/2015 08:04:15 AM,Wednesday,14,09/30/2015 02:09:26 PM,Description: Citizen Assist,732801636,CITIZEN ASSIST,39.819,"{'type': 'Point', 'coordinates': [-111.834, 39.819]}",-111.834,Community Policing,UT,10/10/2015 08:00:45 AM,
833,400 Block W 500 NORTH ST,15JC1373,JUAB CO NEP GR,,,10/07/2015 08:04:33 AM,Sunday,21,09/27/2015 09:09:15 PM,Description: Criminal Mischief,733063911,CRIMINAL MISCHIEF,39.7158,"{'type': 'Point', 'coordinates': [-111.844, 39.7158]}",-111.844,Other,UT,10/10/2015 08:00:43 AM,
834,300 Block CENTER ST,15JC1403,LEVAN,,,10/09/2015 08:04:28 AM,Friday,8,10/02/2015 08:10:37 AM,Description: Criminal Mischief,733629614,CRIMINAL MISCHIEF,39.5575,"{'type': 'Point', 'coordinates': [-111.857, 39.5575]}",-111.857,Other,UT,10/14/2015 08:00:20 AM,
835,400 Block E 200 NORTH ST,15JC1409,LEVAN,,,10/09/2015 08:04:28 AM,Friday,19,10/02/2015 07:10:02 PM,Description: Citizen Assist,733629613,CITIZEN ASSIST,39.5603,"{'type': 'Point', 'coordinates': [-111.854, 39.5603]}",-111.854,Community Policing,UT,10/14/2015 08:00:20 AM,
836,100 Block MAIN ST,15JC1419,LEVAN,,,10/07/2015 08:04:33 AM,Sunday,21,10/04/2015 09:10:01 PM,Description: Citizen Assist,733063907,CITIZEN ASSIST,39.5553,"{'type': 'Point', 'coordinates': [-111.864, 39.5553]}",-111.864,Community Policing,UT,10/17/2015 08:00:22 AM,
837,1 Block SOUTH WEST RIDGE ROAD,15JC1433,ROCKY RIDGE,,,10/14/2015 05:53:29 AM,Thursday,16,10/08/2015 04:10:23 PM,Description: Citizen Assist,734058896,CITIZEN ASSIST,40.1108,"{'type': 'Point', 'coordinates': [-111.635, 40.1108]}",-111.635,Community Policing,UT,10/20/2015 08:00:44 AM,
838,238000 Block I15 SB,15JC1435,JUAB CO MON GR,,,10/14/2015 05:53:29 AM,Thursday,20,10/08/2015 08:10:05 PM,Description: Traffic Accident-Injury,734058894,TRAFFIC ACCIDENT-INJURY,39.8912,"{'type': 'Point', 'coordinates': [-111.829, 39.8912]}",-111.829,Traffic,UT,10/20/2015 08:00:45 AM,
839,224900 Block I15 SB,15JC1454,NEPHI,,,10/14/2015 05:53:29 AM,Sunday,7,10/11/2015 07:10:42 AM,Description: Traffic Offense,734058898,TRAFFIC OFFENSE,39.7072,"{'type': 'Point', 'coordinates': [-111.819, 39.7072]}",-111.819,Traffic,UT,10/23/2015 08:05:39 AM,
840,1100 Block N 400 EAST ST,15JC1455,NEPHI,,,10/14/2015 05:53:29 AM,Sunday,9,10/11/2015 09:10:48 AM,Description: Citizen Assist,734058899,CITIZEN ASSIST,39.724,"{'type': 'Point', 'coordinates': [-111.828, 39.724]}",-111.828,Community Policing,UT,10/23/2015 08:05:39 AM,
