Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
2340,HEBER AVE & SWEDE ALY,18-03714,PARK CITY,,,03/06/2018 02:38:01 AM,Monday,19,03/05/2018 07:03:00 PM,Motorist Assist,836358511,MOTORIST ASSIST,40.6462,"{'type': 'Point', 'coordinates': [-111.496, 40.6462]}",-111.496,Traffic,UT,05/10/2018 04:16:25 PM,
2341,400 Block PARK AVE,18-03718,PARK CITY,,,03/06/2018 05:42:11 AM,Monday,22,03/05/2018 10:03:33 PM,Dist the Peace,836368674,DIST THE PEACE,40.6431,"{'type': 'Point', 'coordinates': [-111.497, 40.6431]}",-111.497,Disorder,UT,05/10/2018 04:16:25 PM,
2342,1300 Block LOWELL AVE,18-03723,PARK CITY,,,03/06/2018 11:08:55 AM,Tuesday,3,03/06/2018 03:03:53 AM,Dist the Peace,836385956,DIST THE PEACE,40.6515,"{'type': 'Point', 'coordinates': [-111.506, 40.6515]}",-111.506,Disorder,UT,05/10/2018 04:16:25 PM,
2343,WYATT EARP WAY & BUTCH CASSIDY CT,18-03727,PARK CITY,,,03/06/2018 03:56:44 PM,Tuesday,7,03/06/2018 07:03:58 AM,Traffic Stop,836400613,TRAFFIC STOP,40.6677,"{'type': 'Point', 'coordinates': [-111.486, 40.6677]}",-111.486,Vehicle Stop,UT,05/10/2018 04:16:25 PM,
2344,1800 Block SIDEWINDER DR,18-03736,PARK CITY,,,03/06/2018 03:56:44 PM,Tuesday,8,03/06/2018 08:03:51 AM,Hit and Run,836400622,HIT AND RUN,40.664,"{'type': 'Point', 'coordinates': [-111.498, 40.664]}",-111.498,Traffic,UT,05/10/2018 04:16:25 PM,
2345,1700 Block KEARNS BLVD,17-03835,PARK CITY,,,02/12/2017 10:46:24 AM,Wednesday,12,02/08/2017 12:02:00 PM,Sex Offense,793213915,SEX OFFENSE,40.667,"{'type': 'Point', 'coordinates': [-111.497, 40.667]}",-111.497,Other Sexual Offense,UT,05/18/2017 09:38:55 AM,
2346,7500 Block ROYAL ST E,18-03813,PARK CITY,,,03/08/2018 12:48:50 AM,Tuesday,12,03/06/2018 12:03:00 PM,Theft,836516381,THEFT,40.6221,"{'type': 'Point', 'coordinates': [-111.489, 40.6221]}",-111.489,Theft,UT,05/10/2018 04:16:25 PM,
2347,SR224 & HOLIDAY RANCH LOOP RD,18-03756,PARK CITY,,,03/07/2018 01:07:48 AM,Tuesday,17,03/06/2018 05:03:03 PM,Traffic Stop,836430571,TRAFFIC STOP,40.6681,"{'type': 'Point', 'coordinates': [-111.515, 40.6681]}",-111.515,Vehicle Stop,UT,05/10/2018 04:16:25 PM,
2348,1 Block NORTHSIDE CT,18-03757,PARK CITY,,,03/07/2018 01:07:48 AM,Tuesday,17,03/06/2018 05:03:18 PM,Fire Alrm S/Fam,836430572,FIRE ALRM S/FAM,40.6198,"{'type': 'Point', 'coordinates': [-111.507, 40.6198]}",-111.507,Alarm,UT,05/10/2018 04:16:25 PM,
2349,2400 Block SPRING HOLLOW RD,18-03765,FRANCIS,,,03/07/2018 04:50:57 AM,Tuesday,19,03/06/2018 07:03:25 PM,DUI,836444645,DUI,40.607,"{'type': 'Point', 'coordinates': [-111.279, 40.607]}",-111.279,Liquor,UT,05/10/2018 04:16:25 PM,
2350,DEER VALLEY DR,18-03769,PARK CITY,,,03/07/2018 07:32:56 AM,Tuesday,23,03/06/2018 11:03:28 PM,Traffic Stop,836450971,TRAFFIC STOP,40.6458,"{'type': 'Point', 'coordinates': [-111.495, 40.6458]}",-111.495,Vehicle Stop,UT,05/10/2018 04:16:25 PM,
