Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
3192,1 Block E 430 N,14080650,EPHRAIM,,,08/22/2014 01:03:26 PM,Thursday,17,08/21/2014 05:29:00 PM,MISCELLANEOUS / VIN INSPECTION<br>CLEARED,531378601,MISCELLANEOUS,39.3679065,"{'type': 'Point', 'coordinates': [-111.587055, 39.3679065]}",-111.587055,Other,UT,02/16/2015 02:04:31 PM,84627
3193,700 Block N MAIN,14080656,EPHRAIM,,,08/22/2014 01:03:26 PM,Thursday,21,08/21/2014 09:36:00 PM,PUBLIC PEACE / DISORDERLY CONDUCT<br>CLEARED,531378600,PUBLIC PEACE,39.3737212,"{'type': 'Point', 'coordinates': [-111.5895741, 39.3737212]}",-111.5895741,Disorder,UT,02/16/2015 02:04:31 PM,84627
3194,1 Block N 400 E,14080657,EPHRAIM,,,08/22/2014 01:03:26 PM,Thursday,22,08/21/2014 10:07:00 PM,"ACCIDENT - PROP DAMG / TRAFFIC ACCIDENT, PROPERTY DAMAGE<br>CLEARED",531378599,ACCIDENT - PROP DAMG,39.360313,"{'type': 'Point', 'coordinates': [-111.577135, 39.360313]}",-111.577135,Emergency,UT,02/16/2015 02:04:31 PM,84627
3195,1 Block E 300 S,14080809,EPHRAIM,,,08/27/2014 01:03:22 PM,Tuesday,15,08/26/2014 03:03:00 PM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>INACTIVE,535928307,SUSPICIOUS ACTIVITY,39.3544312,"{'type': 'Point', 'coordinates': [-111.5854491, 39.3544312]}",-111.5854491,Community Policing,UT,02/21/2015 02:04:26 PM,84627
3196,1 Block N 400 EAST,14080815,EPHRAIM,,,08/27/2014 01:03:22 PM,Tuesday,17,08/26/2014 05:15:00 PM,"CONTROLLED SUBSTANCE / NARCOTIC EQUIPMENT, POSSESSION<br>CLEARED ADULT ARREST",535928306,CONTROLLED SUBSTANCE,39.360313,"{'type': 'Point', 'coordinates': [-111.577135, 39.360313]}",-111.577135,Drugs,UT,02/21/2015 02:04:26 PM,84627
3197,1 Block N 400 E,14080817,EPHRAIM,,,08/27/2014 01:03:22 PM,Tuesday,17,08/26/2014 05:35:00 PM,ASSIST OTHER AGENCY / <br>CLEARED,535928305,ASSIST OTHER AGENCY,39.360313,"{'type': 'Point', 'coordinates': [-111.577135, 39.360313]}",-111.577135,Community Policing,UT,02/21/2015 02:04:26 PM,84627
3198,1 Block N 100 E,14080841,EPHRAIM,,,08/28/2014 01:03:21 PM,Wednesday,13,08/27/2014 01:28:00 PM,"ACCIDENT - PROP DAMG / TRAFFIC ACCIDENT, PROPERTY DAMAGE<br>INACTIVE",536865705,ACCIDENT - PROP DAMG,39.3615972,"{'type': 'Point', 'coordinates': [-111.5856514, 39.3615972]}",-111.5856514,Emergency,UT,02/22/2015 02:04:24 PM,84627
3199,500 Block E MILL ROAD,14080870,EPHRAIM,,,08/29/2014 01:03:21 PM,Thursday,8,08/28/2014 08:32:00 AM,"DAMAGED PROPERTY / DAMAGED PROPERTY, PRIVATE<br>INACTIVE",537799163,DAMAGED PROPERTY,39.3513875,"{'type': 'Point', 'coordinates': [-111.5713464, 39.3513875]}",-111.5713464,Property Crime,UT,02/23/2015 02:04:23 PM,84627
3200,100 Block E 100 S,14080879,EPHRAIM,,,08/29/2014 01:03:21 PM,Thursday,12,08/28/2014 12:18:00 PM,"ACCIDENT - PROP DAMG / TRAFFIC ACCIDENT, PROPERTY DAMAGE<br>CLEARED",537799159,ACCIDENT - PROP DAMG,39.3579837,"{'type': 'Point', 'coordinates': [-111.5842119, 39.3579837]}",-111.5842119,Emergency,UT,02/23/2015 02:04:23 PM,84627
3201,400 Block S MAIN,14080913,EPHRAIM,,,08/30/2014 01:03:21 PM,Friday,10,08/29/2014 10:58:00 AM,THEFT / <br>ACTIVE,538716455,THEFT,39.6211005,"{'type': 'Point', 'coordinates': [-111.4394897, 39.6211005]}",-111.4394897,Theft,UT,02/25/2015 02:04:36 PM,84627
3202,200 Block E 100 SOUTH,14080563,EPHRAIM,,,08/31/2014 01:03:18 PM,Tuesday,13,08/19/2014 01:04:00 PM,MISCELLANEOUS / INFORMATION ONLY<br>INACTIVE,539471128,MISCELLANEOUS,39.3579787,"{'type': 'Point', 'coordinates': [-111.5812117, 39.3579787]}",-111.5812117,Other,UT,02/14/2015 02:04:29 PM,84627
3203,600 Block N 400 E,14080959,EPHRAIM,,,08/31/2014 01:03:18 PM,Saturday,11,08/30/2014 11:37:00 AM,RECKLESS/DANGEROUS DRIVER / DANGEROUS DRIVER<br>CLEARED,539471127,RECKLESS/DANGEROUS DRIVER,39.3719905,"{'type': 'Point', 'coordinates': [-111.5771056, 39.3719905]}",-111.5771056,Traffic,UT,02/25/2015 02:04:36 PM,84627
