column 1,address_1,case_number,city,clearance_type,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
292,2200 Block S 450 W,18-P00786,PERRY,,02/19/2018 12:44:20 PM,Monday,4,02/19/2018 04:13:55 AM,Property Damage,834610504,Property Damage,41.4691086,"{'type': 'Point', 'coordinates': [-112.0266788, 41.4691086]}",-112.0266788,Property Crime,UT,04/20/2018 06:01:45 PM,84302
293,3000 Block S PERRY ST,15-P00027,PERRY,,01/28/2015 09:25:35 PM,Friday,15,01/09/2015 03:01:49 PM,Fraud,676648614,fraud,41.455246,"{'type': 'Point', 'coordinates': [-112.044225, 41.455246]}",-112.044225,Theft,UT,02/12/2015 05:11:58 PM,84302
294,2200 Block S US 89,15-P00029,PERRY,,01/28/2015 09:25:35 PM,Saturday,21,01/10/2015 09:01:44 PM,Drugs,676648616,Drugs,41.468833,"{'type': 'Point', 'coordinates': [-112.0303043, 41.468833]}",-112.0303043,Drugs,UT,02/12/2015 05:11:58 PM,84302
295,3000 Block S PERRY ST,15-P00042,PERRY,,01/28/2015 09:25:35 PM,Friday,13,01/16/2015 01:09:37 PM,Fraud,676648626,fraud,41.455246,"{'type': 'Point', 'coordinates': [-112.044225, 41.455246]}",-112.044225,Theft,UT,03/17/2015 12:31:29 PM,84302
296,1000 Block S POINTE PERRY DR,15-P00047,PERRY,,01/28/2015 09:25:35 PM,Saturday,2,01/17/2015 02:45:03 AM,Loitering,676648630,Loitering,41.4620045,"{'type': 'Point', 'coordinates': [-112.0432171, 41.4620045]}",-112.0432171,Pedestrian Stop,UT,03/18/2015 12:34:54 PM,
297,2100 Block S 450 W,18-P00666,PERRY,,02/12/2018 05:53:00 PM,Monday,7,02/12/2018 07:52:27 AM,Vehicle Burg,833968634,Vehicle Burg,41.470255,"{'type': 'Point', 'coordinates': [-112.027275, 41.470255]}",-112.027275,Theft from Vehicle,UT,04/14/2018 05:16:36 AM,84302
298,3000 Block S PERRY ST,18-P00886,PERRY,,02/28/2018 12:12:04 AM,Tuesday,14,02/27/2018 02:55:10 PM,Fraud,835398196,fraud,41.455246,"{'type': 'Point', 'coordinates': [-112.044225, 41.455246]}",-112.044225,Theft,UT,04/29/2018 12:01:33 AM,84302
299,100 Block E CHATEAU DR,18-P00914,PERRY,,03/01/2018 12:50:37 PM,Wednesday,18,02/28/2018 06:21:52 PM,Drugs,835528572,Drugs,41.484179,"{'type': 'Point', 'coordinates': [-112.011555, 41.484179]}",-112.011555,Drugs,UT,04/29/2018 09:02:23 PM,84302
300,2700 Block S 1000 W,18-P00933,PERRY,,03/03/2018 12:12:55 AM,Friday,16,03/02/2018 04:35:24 PM,Theft,835790607,Theft,41.4589295,"{'type': 'Point', 'coordinates': [-112.0389194, 41.458929499999996]}",-112.0389194,Theft,UT,04/29/2018 09:02:25 PM,84302
301,1200 Block S COMMERCE WAY,18-P00984,PERRY,,03/06/2018 02:20:41 PM,Monday,15,03/05/2018 03:41:08 PM,Theft,836395972,Theft,41.4839983,"{'type': 'Point', 'coordinates': [-112.0300622, 41.4839983]}",-112.0300622,Theft,UT,04/29/2018 09:02:31 PM,84302
302,3000 Block S PERRY ST,15-P00050,PERRY,,01/28/2015 09:25:35 PM,Saturday,13,01/17/2015 01:38:42 PM,Property Damage,676648632,Property Damage,41.455363,"{'type': 'Point', 'coordinates': [-112.0445467, 41.455363]}",-112.0445467,Property Crime,UT,03/18/2015 12:34:54 PM,84302
303,1800 Block S PERRY ST,15-P00081,PERRY,,01/28/2015 09:25:35 PM,Monday,21,01/26/2015 09:17:54 PM,Drugs,676648658,Drugs,41.4673852,"{'type': 'Point', 'coordinates': [-112.0415182, 41.4673852]}",-112.0415182,Drugs,UT,03/27/2015 12:31:46 PM,84302
304,3000 Block S PERRY ST,15-P00084,PERRY,,01/28/2015 09:25:35 PM,Tuesday,15,01/27/2015 03:55:10 PM,Harassment,676648661,Harassment,41.455246,"{'type': 'Point', 'coordinates': [-112.044225, 41.455246]}",-112.044225,Assault,UT,03/28/2015 12:32:19 PM,84302
305,1000 Block S POINTE PERRY DR,16-P00806,PERRY,,07/18/2016 10:25:17 AM,Sunday,8,07/17/2016 08:50:45 AM,Littering,765287371,Littering,41.4630527,"{'type': 'Point', 'coordinates': [-112.0428376, 41.4630527]}",-112.0428376,Disorder,UT,09/26/2016 02:47:40 PM,84302
306,2400 Block S US 89,18-P01005,PERRY,,03/07/2018 10:14:41 PM,Wednesday,15,03/07/2018 03:06:57 PM,Property Damage,836509441,Property Damage,41.4649736,"{'type': 'Point', 'coordinates': [-112.032989, 41.4649736]}",-112.032989,Property Crime,UT,04/29/2018 09:02:33 PM,84302
307,200 Block W 2000 S,15-P00085,PERRY,,01/28/2015 09:25:35 PM,Wednesday,9,01/28/2015 09:01:09 AM,Fraud,676648662,fraud,41.4736861,"{'type': 'Point', 'coordinates': [-112.0222466, 41.4736861]}",-112.0222466,Theft,UT,03/29/2015 12:31:46 PM,84302
308,363000 Block I15 SB,15-P00090,BRIGHAM CITY,,02/12/2015 05:11:58 PM,Friday,11,01/30/2015 11:13:56 AM,Reckless Drivin,691319596,Reckless Drivin,41.5102129,"{'type': 'Point', 'coordinates': [-112.0155015, 41.5102129]}",-112.0155015,Traffic,UT,03/31/2015 12:31:52 PM,
309,1 Block E 1550 S,15-P00096,PERRY,,02/12/2015 05:11:58 PM,Saturday,20,01/31/2015 08:55:23 PM,Trespassing,691319600,Trespassing,41.480468,"{'type': 'Point', 'coordinates': [-112.014746, 41.480468]}",-112.014746,Other,UT,04/01/2015 12:31:47 PM,84302
310,3000 Block S US 89,15-P00114,PERRY,,02/12/2015 05:11:58 PM,Thursday,16,02/05/2015 04:49:31 PM,Trespassing,691319612,Trespassing,41.4552782,"{'type': 'Point', 'coordinates': [-112.0387075, 41.4552782]}",-112.0387075,Other,UT,04/06/2015 12:32:29 PM,84302
311,3300 Block S BING AVE,15-P00119,PERRY,,02/12/2015 05:11:58 PM,Saturday,12,02/07/2015 12:24:51 PM,DUI,691319617,DUI,41.4494766,"{'type': 'Point', 'coordinates': [-112.0483086, 41.4494766]}",-112.0483086,Traffic,UT,04/08/2015 12:32:02 PM,84302
312,2200 Block S US 89,15-P00124,PERRY,,02/12/2015 05:11:58 PM,Saturday,20,02/07/2015 08:18:49 PM,Keep The Peace,691319621,Keep The Peace,41.4691026,"{'type': 'Point', 'coordinates': [-112.0301216, 41.4691026]}",-112.0301216,Disorder,UT,04/08/2015 12:32:03 PM,84302
313,2500 Block S PERRY ST,16-P00869,PERRY,,07/24/2016 10:26:22 AM,Saturday,9,07/23/2016 09:05:44 AM,Keep The Peace,765943998,Keep The Peace,41.4662001,"{'type': 'Point', 'coordinates': [-112.04178, 41.4662001]}",-112.04178,Disorder,UT,09/29/2016 02:16:08 PM,84302
314,1200 Block S COMMERCE WAY,16-P00908,PERRY,,07/29/2016 10:26:57 AM,Thursday,13,07/28/2016 01:07:35 PM,Theft,766380959,Theft,41.4839984,"{'type': 'Point', 'coordinates': [-112.0300623, 41.4839984]}",-112.0300623,Theft,UT,09/29/2016 02:16:10 PM,84302
315,1700 Block S 165 W,15-P00132,PERRY,,02/12/2015 05:11:58 PM,Monday,10,02/09/2015 10:29:21 AM,Fraud,691319626,fraud,41.477882,"{'type': 'Point', 'coordinates': [-112.01938, 41.477882]}",-112.01938,Theft,UT,04/10/2015 12:33:38 PM,84302
